freq,ampl_A,ampl_B,ampl_C
2537,0.010889332,0.038676266,0.038995683
2538,0.008734026,0.013731581,0.02714039
2539,0.02661072,0.023275802,0.019281028
2540,0.014692633,0.018187713,0.029045507
2541,0.016075004,0.023793494,0.03531308
2542,0.029237214,0.02337703,0.008967568
2543,0.012121916,0.014496162,0.04329317
2544,0.01601843,0.02187139,0.040264666
2545,0.020387705,0.025776263,0.039274056
2546,0.009667881,0.019974155,0.020852098
2547,0.050474204,0.062042024,0.04903501
2548,0.042501356,0.051811293,0.035461787
2549,0.02795796,0.035561435,0.014183705
2550,0.025180817,0.0056771073,0.015642451
2551,0.018753555,0.0046533095,0.02789562
2552,0.027591702,0.013733346,0.01768496
2553,0.018441997,0.015698446,0.014143973
2554,0.015254881,0.019524714,0.025105359
2555,0.024622587,0.014321572,0.030499348
2556,0.014600676,0.013080664,0.01324835
2557,0.0065325364,0.020198844,0.021660913
2558,0.011772345,0.020379683,0.02483437
2559,0.007939166,0.017998626,0.020319158
2560,0.01292423,0.03293465,0.0064652916
2561,0.012984984,0.016045386,0.020829732
2562,0.012727287,0.0199089,0.027329775
2563,0.011914829,0.018909814,0.020458931
2564,0.0048351204,0.02366033,0.02435423
2565,0.008218906,0.014045297,0.026894454
2566,0.014736586,0.014399438,0.026794294
2567,0.01901797,0.00975261,0.028752025
2568,0.012960223,0.01458283,0.029153163
2569,0.0089305425,0.025011793,0.030352058
2570,0.013496736,0.020335581,0.03346014
2571,0.0156080285,0.019517053,0.032228608
2572,0.013051287,0.011337032,0.030019011
2573,0.022234362,0.02798826,0.040637866
2574,0.011102224,0.023258405,0.02303932
2575,0.011400988,0.019868044,0.025722161
2576,0.024518106,0.026905188,0.038532767
2577,0.015196379,0.02235266,0.029223287
2578,0.021324549,0.032433096,0.039599538
2579,0.009851652,0.010712705,0.01458996
2580,0.011917082,0.016896777,0.02516799
2581,0.02640957,0.030673804,0.051613934
2582,0.024451768,0.0347586,0.04997806
2583,0.02269302,0.0018316737,0.023383355
2584,0.041852765,0.04725626,0.08829289
2585,0.051512036,0.018229658,0.078126125
2586,0.22256327,0.14952332,0.37310886
2587,0.046975702,0.03869223,0.090106934
2588,0.057983182,0.050333146,0.094609864
2589,0.0059004207,0.010125783,0.026546817
2590,0.0020519227,0.016721662,0.011258942
2591,0.009510426,0.010265371,0.015413241
2592,0.0114469845,0.01300493,0.021534897
2593,0.010744873,0.022115609,0.021009397
2594,0.01593549,0.02613808,0.021576518
2595,0.0039716046,0.012608833,0.019270055
2596,0.0061996044,0.011876864,0.024519075
2597,0.017733516,0.026346644,0.026426602
2598,0.0040784073,0.013508359,0.025172332
2599,0.014147127,0.02361589,0.017146816
2600,0.006993557,0.016593663,0.020389263
2601,0.01263679,0.016228227,0.03384822
